claim_number,email,phone_number,claim_date,cost
G269475,BobR8@gmail.com,(640) 065-0964,2018-07-11,0
R246552,GaryM7@gmail.com,(382) 379-5739,2018-03-03,985376
U548,TravisD9@gmail.com,(559) 200-5939,2018-11-09,651813
H498573,CindyT2@gmail.com,(909) 492-4494,2018-01-03,568141
L94564,JudeD0@gmail.com,(743) 137-5740,2018-02-22,0
H42946,ChristinaE5@gmail.com,(350) 839-1137,2018-09-09,951435
H181377,LauraJ2@gmail.com,(132) 128-9030,2018-07-14,936521
C376852,RossM8@gmail.com,(525) 207-9879,2018-07-25,237082
L105468,HaroldG3@gmail.com,(793) 943-8162,2018-11-15,379027
U389804,SharonM8@gmail.com,(612) 149-0527,2018-08-27,199351
N205014,KirkC5@gmail.com,(556) 029-2722,2018-02-09,0
L132960,GaryA0@gmail.com,(503) 928-6510,2018-02-26,282411
E161984,LouiseP0@gmail.com,(886) 023-7964,2018-08-19,687202
C5313,NettieE8@gmail.com,(213) 043-9558,2018-07-30,855521
U247636,AdalbertoG3@gmail.com,(593) 714-7980,2018-01-25,539534
U82267,ChristopherS0,+1 (648) 084-4322,2018-10-31,0
T439691,FrankB2@gmail.com,(416) 678-3928,2018-08-14,483884
A44874,JenniferN1@gmail.com,(208) 072-9588,2018-01-30,323208
M433092,EstherB2@gmail.com,(446) 860-5635,2018-04-03,15426
N278577,MaryS5@gmail.com,+1 (732) 146-2321,2018-12-29,0
U407438,CarolynA3@gmail.com,(677) 531-2374,2018-11-29,999999999999
C357366,FannieJ4@gmail.com,(361) 205-4505,2018-01-16,0
E370443,ChristineT1,(880) 102-0220,2018-11-13,340457
P76264,JamesJ1@gmail.com,(599) 283-2132,2018-08-14,116637
R430955,EmmaK2@gmail.com,(534) 536-2737,2018-12-30,145137
B320011,JennieT3@gmail.com,(192) 942-6018,2018-11-08,972140
A305812,SylviaW0@gmail.com,(556) 737-6297,2018-11-12,956975
M178732,DavidG4@gmail.com,(904) 531-8339,2018-04-12,676669
S83918,CharleneP8@gmail.com,(288) 625-6488,2018-12-27,303271
R463469,AntonioD2@gmail.com,(861) 879-1482,2018-01-04,197088
K345435,WalterB5@gmail.com,(819) 621-3841,2018-04-27,985818
C280792,AlleenJ1@gmail.com,(250) 783-6918,2018-06-03,485283
R247067,NicholasS2@gmail.com,(772) 895-5235,2018-09-06,876125
G271871,ShawnT3@gmail.com,(763) 849-6111,2018-07-02,184396
P417001,NicoleJ2@gmail.com,(779) 220-2265,2018-04-01,170972
A293069,MichaelT9@gmail.com,(271) 243-9399,2018-03-15,884073
T463464,KevinC5@gmail.com,(488) 309-7720,2018-07-13,296343
Y122724,ClaraD2@gmail.com,(704) 906-9764,2018-06-18,887229
S37475,SylvesterC5@gmail.com,(790) 492-7019,2018-06-18,0
T185797,MichaelH4@gmail.com,(226) 122-9386,2018-09-15,885896
G12525,ErickB8@gmail.com,(390) 320-9769,2018-12-21,0
G295554,BeatriceL0@gmail.com,(725) 467-3910,2018-08-09,916165
N303622,MargaretC6@gmail.com,(447) 155-7571,2018-02-19,0
L484537,ThomasR4@gmail.com,+1 (741) 176-2506,2018-02-05,880200
T327301,DavidD1@gmail.com,(878) 461-4868,2018-09-04,394417
B188139,StacyE0@gmail.com,(409) 323-0548,2018-12-12,0
P338870,JamesS2@gmail.com,(779) 091-7711,2018-11-08,0
E356232,HalC2@gmail.com,+1 (794) 431-2800,2018-09-11,231110
D372632,MatthewM8@gmail.com,(394) 417-6486,2018-01-19,884604
L43132,AnnJ6@gmail.com,(178) 953-1384,2018-02-09,75366
F94092,AndresA0@gmail.com,(508) 308-3538,2018-10-28,636219
W231258,KimberlyJ1@gmail.com,(540) 078-4280,2018-02-12,0
H220493,ShirleyM9@gmail.com,(328) 506-3039,2018-08-11,543109
I145459,HarrietC5@gmail.com,(493) 844-6215,2018-10-08,195271
J193644,EdnaJ1@gmail.com,(348) 319-9015,2018-04-21,39141
E315677,DavidR1@gmail.com,(758) 566-3301,2018-12-13,856333
S95026,RobinS8@gmail.com,(987) 289-4152,2018-04-14,646305
S301871,DavidT3@gmail.com,(572) 709-8231,2018-07-28,614215
Y317069,WilliamM7@gmail.com,(990) 379-5560,2018-11-01,582046
G254426,MariaP0,(787) 920-4340,2018-12-10,386245
S496742,DonnaD3@gmail.com,(206) 568-8028,2018-12-07,0
L420305,PatrickC8@gmail.com,(588) 833-5398,2018-10-11,0
S279065,JillD5@gmail.com,(870) 199-4952,2018-03-13,0
B99704,ThomasC3@gmail.com,(609) 669-4132,2018-09-25,0
O386428,JamesB5@gmail.com,(546) 160-8242,2018-04-06,0
V144307,ColeA3@gmail.com,(511) 512-6998,2018-03-03,836190
F69159,SalinaJ2@gmail.com,+1 (586) 125-0691,2018-09-20,736103
O403869,AngelaJ6@gmail.com,(550) 107-3709,2018-03-26,305228
L308625,SandraN7@gmail.com,(973) 673-2766,2018-03-16,999999999999
X358489,RaeB5@gmail.com,(623) 014-4732,2018-01-30,128621
B257988,AnthonyC8@gmail.com,(104) 442-1490,2018-09-05,742883
X396416,StuartC2@gmail.com,(705) 213-5148,2018-08-03,381201
H268037,GeorgeN4@gmail.com,+1 (514) 633-7775,2018-10-30,217067
B53809,NathanJ3@gmail.com,(766) 698-8163,2018-05-31,882748
M301520,JohnB5@gmail.com,(807) 903-5075,2018-10-21,77839
V283156,ErnestS8@gmail.com,(677) 126-0758,2018-01-09,762595
I458412,PatriciaK0@gmail.com,(763) 819-8159,2018-09-15,147864
E15540,DeanB2@gmail.com,(721) 837-6212,2018-06-03,0
U204749,ElizabethJ1,(297) 751-0143,2018-09-24,578847
E313150,CharlieM4@gmail.com,(193) 494-3630,2018-02-14,0
Z361229,TommieJ1@gmail.com,(334) 204-7110,2018-07-07,413311
P107161,PatriciaS1@gmail.com,(357) 535-2966,2018-04-03,0
X79579,VirginiaM1@gmail.com,(990) 705-3818,2018-12-02,127166
E222738,PamelaJ8@gmail.com,+1 +1 (650) 181-1361,2018-11-09,862489
C346560,MatthewS4@gmail.com,(412) 141-6904,2018-11-05,216976
T397535,EusebioI9@gmail.com,(610) 341-8860,2018-11-12,155198
I369664,RuthH3@gmail.com,+1 (174) 095-8247,2018-02-12,0
R469751,MaryC7@gmail.com,(329) 582-0865,2018-01-28,0
G61746,LoriL6@gmail.com,(628) 808-8301,2018-04-03,905241
F192854,HelenM8@gmail.com,(412) 780-0295,2018-04-19,396681
J466468,LloydT3@gmail.com,(211) 338-5424,2018-02-19,963164
X277026,SheilaM1@gmail.com,(605) 576-4214,2018-11-07,337035
G241725,JoyceT5@gmail.com,(435) 338-0787,2018-09-27,973916
Y451025,DianneM0@gmail.com,(178) 224-3800,2018-08-09,514156
U308824,CarolC8@gmail.com,(421) 672-1975,2018-06-21,948728
U215121,PatriciaJ3@gmail.com,(800) 409-7137,2018-02-13,0
C60790,JessicaJ3@gmail.com,(465) 641-1337,2018-05-09,800464
H239,RicardoA4@gmail.com,(691) 466-1204,2018-05-18,999946
W161715,BernadetteC5@gmail.com,(571) 249-9523,2018-04-04,658502
W59785,SusanC1@gmail.com,(997) 747-7135,2018-04-02,0
P73022,LieselotteJ5@gmail.com,(126) 848-9422,2018-05-31,0
B44461,LauraC4@gmail.com,+1 (850) 999-2079,2018-12-03,0
Y448350,DongR6@gmail.com,(470) 583-4136,2018-03-20,287325
N4421,ArlineS8@gmail.com,(149) 341-8469,2018-10-29,235955
Q101431,TonyS9@gmail.com,(453) 596-8422,2018-05-22,664953
R160999,JuanS3@gmail.com,(610) 804-5256,2018-08-04,1562
D239024,NolaR3@gmail.com,(458) 539-7014,2018-10-08,315784
S166969,EricaM8,(841) 279-2125,2018-09-16,0
C22532,CarrollA3@gmail.com,(542) 578-9797,2018-01-20,0
O221300,KathyE4@gmail.com,+1 (258) 134-6202,2018-05-10,0
U420969,StellaJ0@gmail.com,(924) 865-3725,2018-05-26,827355
P116868,RonaldR1@gmail.com,(371) 843-6251,2018-12-29,753022
X438667,CindyM0@gmail.com,(814) 255-7345,2018-05-06,0
K264578,DerekJ2@gmail.com,(898) 498-1302,2018-02-15,0
W194892,MichaelD6@gmail.com,(193) 150-5713,2018-12-06,614816
N321076,NellieB5@gmail.com,+1 (167) 065-9756,2018-02-08,315924
F479531,PatC5@gmail.com,(743) 809-5407,2018-09-06,856143
D423832,BelindaP2@gmail.com,(789) 010-5159,2018-06-27,782284
Q242363,LoreneC1@gmail.com,(197) 105-0901,2018-03-13,0
B293529,RebeccaJ9@gmail.com,+1 (878) 741-3809,2018-06-01,0
